style_id	family	title	feel	type_era	control	material_hint	a11y_watch	notes
arts-and-crafts	historical-movement	Arts and Crafts	handmade honesty anti-industrial	TY-OLDSTYLE-SERIF	chunk-border	wool-felt	body contrast on patterned grounds	Morris era craft
art-nouveau	historical-movement	Art Nouveau	organic curves botanical line	TY-DISPLAY-EXTREME	ink-underline	watercolor-wash	display not for long body	1890s-1910s
wiener-werkstatte	historical-movement	Wiener Werkstätte	geometric square modern craft	TY-GEOMETRIC	sharp-0	gold-leaf	thin gold on cream contrast	Vienna workshops
futurism	historical-movement	Futurism	speed diagonals machine energy	TY-INDUSTRIAL-COND	sharp-0	steel	motion reduce path	Italian Futurism
dada	historical-movement	Dada	collage absurd anti-design	TY-MIXED-HIGH-CONTRAST	chunk-border	newsprint	chaos still needs hierarchy	Dada
constructivism	historical-movement	Constructivist	bars diagonals propaganda geometry	TY-INDUSTRIAL-COND	chunk-border	screenprint	red/black contrast	Russian Constructivism
de-stijl	historical-movement	De Stijl	strict H/V primary rects	TY-GEOMETRIC	sharp-0	primary-blocks	primary colours on white	Mondrian/Doesburg
bauhaus	historical-movement	Bauhaus	workshop modern geometry function	TY-GEOMETRIC	sharp-0	primary-blocks	clear hierarchy	1919 school
new-typography	historical-movement	New Typography	type as image asymmetric	TY-GROTESQUE	ink-underline	paper-ink	extreme scale keep body	Tschichold
art-deco	historical-movement	Art Deco	glamour verticals fan geometry	TY-DIDONE-LUX	ticket	gold-leaf	gold on dark contrast	1925+
streamline-moderne	historical-movement	Streamline Moderne	aerodynamic curves chrome speed	TY-GEOMETRIC	pill	chrome-metal	chrome glare not text	1930s
swiss-international	historical-movement	Swiss International	grid objectivity quiet type	TY-GROTESQUE	ink-underline	paper-ink	grey text risk	1950s ITS
international-style-arch	historical-movement	International Style Architecture	glass box rational facade	TY-GROTESK-SOFT	sharp-0	glass-frost	glass panels contrast	architecture
mid-century-modern	historical-movement	Mid-Century Modern	warm modern atomic optimism	TY-HUMANIST	soft-rect	teak	mustard on cream ok	1945-65
scandinavian-modern	historical-movement	Scandinavian Modern	light wood honest air	TY-HUMANIST	soft-rect	birch	pale greys contrast	Nordic
pop-art	historical-movement	Pop Art	halftone punch everyday icons	TY-DISPLAY-EXTREME	sharp-0	halftone-print	CMYK primaries	Warhol era
op-art	historical-movement	Op Art	optical vibration geometry	TY-GEOMETRIC	sharp-0	high-contrast	avoid seizure patterns; reduce motion	1960s
psychedelic	historical-movement	Psychedelic	vibrating type dense poster	TY-DISPLAY-EXTREME	chunk-border	neon-tube	body readable; no strobe	1960s posters
space-age	historical-movement	Space Age	atomic age optimism plastics	TY-GEOMETRIC	pill	astronaut-white	pastel+chrome	1960s
minimalism	historical-movement	Minimalism	less almost nothing	TY-SANS-ONLY-TIGHT	ink-underline	white-void	not low-contrast grey	1960s+
postmodern-graphic	historical-movement	Postmodern Graphic	rule-break pastiche irony	TY-MIXED-HIGH-CONTRAST	offset-shadow	terrazzo	still one hierarchy	1978+
memphis	historical-movement	Memphis	playful clash laminate shapes	TY-GEOMETRIC	chunk-border	formica	pastel+black rules	1981 Sottsass
deconstructivism	historical-movement	Deconstructivism	fragmented unstable structure	TY-MIXED-HIGH-CONTRAST	sharp-0	scaffold	structure still navigable	architecture 80s
grunge-print	historical-movement	Grunge Print	distressed layered dirty type	TY-MIXED-HIGH-CONTRAST	chunk-border	toner-dirt	don't crush contrast	90s print
y2k	historical-movement	Y2K	gloss bubbles chrome stars	TY-ROUNDED	pill	iridescent-film	shine not text	late 90s web
web-safe-classic	historical-movement	Web 1.0 Classic	blue links tables honest	TY-SYSTEM-RAW	ink-underline	lcd-blue	default link contrast	1995-2002
web-2.0-gloss	historical-movement	Web 2.0 Glossy	bevel badges gradients	TY-GROTESK-SOFT	pill	bubble-plastic	gradient text ban long	2005-10
skeuomorph-ios6	historical-movement	Classic Skeuomorphism	leather felt stitched realism	TY-HUMANIST	soft-rect	leather-bound	texture behind text careful	iOS6 era
metro-fluent-flat	historical-movement	Metro / flat tiles	typography-led tile mosaic	TY-GROTESQUE	sharp-0	solid-fill	tile text contrast	Windows Metro
material-design	historical-movement	Material Design	paper layers FAB elevation	TY-HUMANIST	soft-rect	paper-elevation	elevation not only cue	Google M
material-you	historical-movement	Material You tonal	dynamic tonal surfaces	TY-ROUNDED	pill	tonal-surface	tonal contrast steps	M3
fluent-2	historical-movement	Fluent 2	mica acrylic soft system	TY-GROTESK-SOFT	soft-rect	acrylic	mica behind text	Microsoft
human-interface-apple	historical-movement	Apple HIG clean	SF-like clarity large radius	TY-GROTESK-SOFT	soft-rect	system-blur	blur contrast	Apple HIG
glassmorphism	historical-movement	Glassmorphism	frosted panels on photo	TY-GROTESK-SOFT	soft-rect	glass-frost	WCAG on frost critical	2020 trend
neumorphism	historical-movement	Neumorphism	soft extruded mono UI	TY-ROUNDED	soft-rect	soft-clay	3:1 UI contrast hard	2019+
claymorphism	historical-movement	Claymorphism	puffy 3D clay controls	TY-ROUNDED	pill	soft-clay	pastels contrast	soft UI
neo-brutalism	historical-movement	Neo-Brutalism	fat borders hard shadow loud	TY-DISPLAY-EXTREME	chunk-border	solid-fill	good for contrast if ink dark	web trend
brutalist-web	historical-movement	Brutalist Web	raw system anti-polish	TY-SYSTEM-RAW	sharp-0	default-browser	use real focus styles	brutalistwebsites
soft-brutalism	historical-movement	Soft Brutalism	bold structure softer fill	TY-GROTESQUE	chunk-border	pastel-pop	borders high contrast	hybrid
bento-ui	historical-movement	Bento UI	soft mosaic large tiles	TY-GROTESK-SOFT	soft-rect	light-grey-card	card text contrast	Apple-like marketing
dark-mode-oled	historical-movement	OLED Dark Product	true black sparse light type	TY-GROTESK-SOFT	sharp-0	oled-black	grey on black fail risk	product UI
aurora-mesh	historical-movement	Aurora Mesh Gradient	soft mesh atmosphere once	TY-GROTESK-SOFT	soft-rect	iridescent-film	text not on busy mesh	Stripe-era
kinetic-type	historical-movement	Kinetic Typography	motion type first	TY-DISPLAY-EXTREME	ink-underline	paper-ink	reduced-motion static	motion design
isometric-3d	historical-movement	Isometric Illustration UI	3D iso scenes with UI chrome quiet	TY-GROTESK-SOFT	soft-rect	iso-plastic	don't put body on iso noise	illustration UI
maximalism	historical-movement	Maximalism	more is more layered dense	TY-MIXED-HIGH-CONTRAST	chunk-border	pattern-clash	hierarchy still mandatory	design culture
quiet-luxury	historical-movement	Quiet Luxury	restraint expensive materials	TY-DIDONE-LUX	ink-underline	stone-silk	thin type contrast	fashion
corporate-memphis	historical-movement	Corporate Memphis	flat diverse vectors pastel	TY-GROTESK-SOFT	soft-rect	pastel-vector	avoid cliché if banned	2010s SaaS
anti-corporate-memphis	historical-movement	Anti-Corporate-Memphis	reject blob people use photo/type	TY-SERIF-TEXT	sharp-0	photo-led	photo alt text	reaction
brutalist-architecture	architecture	Brutalist Architecture	concrete mass voids	TY-GROTESQUE	sharp-0	concrete	grey-on-grey risk	architecture
gothic-cathedral	architecture	Gothic Cathedral	vertical pointed stained light	TY-BLACKLETTER-SPARSE	ink-underline	stone-stained-glass	body not blackletter	gothic
baroque-ornate	architecture	Baroque Ornate	ornament drama gold scroll	TY-MODERN-SERIF	ticket	gold-leaf	ornament not body	baroque
rococo-light	architecture	Rococo Light	pastel scroll delicate	TY-SCRIPT-SPARSE	pill	cream-cotton	pastel contrast	rococo
beaux-arts	architecture	Beaux-Arts	formal classical grandeur	TY-TRANSITIONAL-SERIF	sharp-0	marble	classical symmetry	beaux-arts
art-nouveau-arch	architecture	Art Nouveau Architecture	whiplash iron botanical facade	TY-DISPLAY-EXTREME	ink-underline	wrought-iron	curves as structure	architecture
googie	architecture	Googie	atomic roadside angles neon	TY-DISPLAY-EXTREME	sharp-0	motel-neon	neon contrast	US roadside
midcentury-ranch	architecture	Mid-century Ranch Interior	horizontal glass indoor-outdoor	TY-HUMANIST	soft-rect	teak	warm neutrals	interiors
japanese-metabolist	architecture	Metabolist	modular capsules future	TY-GEOMETRIC	sharp-0	capsule-module	module grid	Japan 60s
high-tech-arch	architecture	High-Tech Architecture	exposed structure services	TY-MONO-DATA	sharp-0	scaffold	Pompidou-like	Rogers/Foster
parametric-blob	architecture	Parametric / Blobitecture	smooth digital curves	TY-GROTESK-SOFT	pill	white-composite	curve frames	Zaha-era
shaker-simplicity	architecture	Shaker	utility pure spare wood	TY-HUMANIST	sharp-0	oak-timber	plain honesty	Shaker
craftsman-bungalow	architecture	Craftsman Bungalow	built-in wood honest joinery	TY-SLAB	chunk-border	oak-timber	warm dark type	US craftsman
industrial-loft	architecture	Industrial Loft	brick iron factory conversion	TY-INDUSTRIAL-COND	chunk-border	brick-industrial	dark loft contrast	interiors
biophilic	architecture	Biophilic	plants daylight organic calm	TY-HUMANIST	soft-rect	leaf-wood	green not only cue	wellness
solarpunk	architecture	Solarpunk	hopeful green tech craft	TY-HUMANIST	chunk-border	leaf-solar	optimistic contrast	aesthetic
cyberpunk-ui	architecture	Cyberpunk UI	neon rain dense HUD	TY-MONO-DATA	sharp-0	neon-on-wet	neon AA hard	sci-fi
dieselpunk	architecture	Dieselpunk	interwar machines grit oil	TY-INDUSTRIAL-COND	chunk-border	oil-metal	sepia+steel	alt-history
steampunk	architecture	Steampunk	brass gears Victorian tech	TY-OLDSTYLE-SERIF	ticket	brass-leather	ornament secondary	aesthetic
atompunk	architecture	Atompunk	atomic age optimism raygun	TY-GEOMETRIC	pill	chrome-metal	pastel atomic	aesthetic
broadsheet-news	print-editorial	Broadsheet Newspaper	columns rules authority	TY-SERIF-TEXT	ink-underline	newsprint	column measure	news
tabloid-scream	print-editorial	Tabloid	loud headlines red boxes	TY-INDUSTRIAL-COND	filled-block	newsprint	scream but readable	news
magazine-vogue	print-editorial	Fashion Magazine	whitespace full-bleed photo	TY-DIDONE-LUX	ink-underline	photo-led	thin type size up	fashion edit
magazine-natgeo	print-editorial	Documentary Magazine	photo essay maps captions	TY-HUMANIST	ink-underline	photo-led	caption contrast	editorial
zine-diy	print-editorial	DIY Zine	photocopy cut-up tape	TY-MIXED-HIGH-CONTRAST	ticket	toner	hierarchy in chaos	zines
risograph-print	print-editorial	Risograph	misregister limited inks	TY-GROTESQUE	chunk-border	risograph	spot colour contrast	print
swiss-poster	print-editorial	Swiss Poster	monumental type one idea	TY-GROTESQUE	sharp-0	paper-ink	huge type	poster
polish-poster	print-editorial	Polish School of Posters	metaphor illustration bold	TY-DISPLAY-EXTREME	sharp-0	screenprint	concept image	poster art
japanese-editorial	print-editorial	Japanese Editorial	quiet gaps precise type	TY-SERIF-TEXT	ink-underline	sumi-ink	generous space	JP edit
chinese-ink-modern	print-editorial	Modern Ink Tradition	ink wash empty space	TY-SERIF-TEXT	ink-underline	sumi-ink	red seal accent only	East Asian
korean-webtoon-clean	print-editorial	Clean Webtoon/App KR	soft cards large type mobile	TY-ROUNDED	pill	soft-grey	mobile targets	KR product
scientific-atlas	print-editorial	Scientific Atlas	plates figures captions	TY-SERIF-TEXT	sharp-0	atlas-plate	figure labels	science print
field-guide	print-editorial	Field Guide	specimen + key	TY-HUMANIST	ink-underline	specimen-paper	species labels	naturalist
recipe-card	print-editorial	Recipe Card Classic	index card steps	TY-SLAB	ticket	index-card	step clarity	food print
sheet-music	print-editorial	Sheet Music	staves notation rhythm	TY-SERIF-TEXT	ink-underline	staff-paper	not only motif	music
map-ordnance	print-editorial	Ordnance Survey Map	contour information density	TY-HUMANIST	sharp-0	map-paper	legend contrast	cartography
blueprint	print-editorial	Blueprint	cyanotype technical lines	TY-MONO-DATA	sharp-0	blueprint-cyan	cyan bg text white/black	tech draw
patent-drawing	print-editorial	Patent Drawing	line invention figures	TY-SYSTEM-RAW	sharp-0	line-ink	figure numbers	legal invent
yearbook-retro	print-editorial	Retro Yearbook	portrait grids signatures	TY-SCRIPT-SPARSE	soft-rect	photo-grid	grid captions	school
mail-order-catalog	print-editorial	Mail-Order Catalogue	dense product grid prices	TY-SYSTEM-RAW	ink-underline	catalog-paper	price legible	commerce print
vaporwave	internet-aesthetic	Vaporwave	retro computing pastel classical glitch	TY-GEOMETRIC	soft-rect	crt-pastel	glitch not text	internet aesthetic
synthwave	internet-aesthetic	Synthwave	80s sunset grid neon	TY-DISPLAY-EXTREME	sharp-0	neon-grid	neon AA	internet
outrun	internet-aesthetic	Outrun	retro racer sun stripes	TY-DISPLAY-EXTREME	sharp-0	sunset-chrome	stripe contrast	internet
cottagecore	internet-aesthetic	Cottagecore	pastoral soft rural romance	TY-OLDSTYLE-SERIF	soft-rect	linen-meadow	soft contrast watch	internet
dark-academia	internet-aesthetic	Dark Academia	moody library scholarly gothic	TY-OLDSTYLE-SERIF	ink-underline	library-oak	dark brown text risk	internet
light-academia	internet-aesthetic	Light Academia	sunny scholarly cream linen	TY-OLDSTYLE-SERIF	ink-underline	cream-cotton	cream contrast	internet
chaotic-academia	internet-aesthetic	Chaotic Academia	messy notes stacked papers	TY-MIXED-HIGH-CONTRAST	ticket	manila-folder	mess with hierarchy	internet
