axis	value_id	label_or_hint	meta
skeleton	SK-HERO-SPLIT	50/50 thesis | action	marketing
skeleton	SK-SINGLE-STICKY	one column sticky CTA	marketing|mobile
skeleton	SK-EDITORIAL-LONG	magazine long-read late form	marketing
skeleton	SK-BENTO	asymmetric mosaic one hero tile	marketing|app
skeleton	SK-TABLE-FIRST	data table owns viewport	app
skeleton	SK-TIMELINE	process spine is SIGN	app|mobile
skeleton	SK-MAP-STAGE	map canvas + sheet	app|mobile
skeleton	SK-BOARD-KANBAN	lanes columns primary	app
skeleton	SK-TICKET-STUB	whole-page stub geometry	marketing|mobile
skeleton	SK-LEDGER	ruled register paper	app
skeleton	SK-TERMINAL	mono prompt log stage	app
skeleton	SK-POSTER	full-bleed type one idea	marketing
skeleton	SK-BOTTOM-SHEET	phone content + job sheet	mobile
skeleton	SK-TAB-DECK	tabs only chrome one pane	mobile|app
skeleton	SK-WIZARD-STEPS	one step visible	app|mobile
skeleton	SK-SPLIT-INSPECTOR	list + detail only	app
skeleton	SK-DASH-METRIC	KPI strip + one focus	app
skeleton	SK-GALLERY-INDEX	media index grid	marketing|app
skeleton	SK-ZINE-COLLAGE	overlap stickers DIY	marketing
skeleton	SK-BRUTAL-BLOCKS	raw stacks thick rules	any
skeleton	SK-RAIL-DOCK	side dock job only CAP	app
skeleton	SK-CENTER-STAGE	single focal object	marketing
skeleton	SK-NEWS-RIVER	chronological stack	app|marketing
skeleton	SK-CALENDAR-SPINE	calendar is SIGN	app
skeleton	SK-MASONRY	uneven masonry feed	marketing|app
skeleton	SK-SPLIT-DIAGONAL	diagonal divide regions	marketing
skeleton	SK-FRAME-IN-FRAME	nested frames passepartout	marketing
skeleton	SK-SIDE-SCROLL	horizontal chapters	marketing
skeleton	SK-FIXED-TOC	left TOC long content	marketing|app
skeleton	SK-COMMAND-CENTER	search/command is SIGN not triple	app
skeleton	SK-INBOX-ZERO	queue + triage actions	app
skeleton	SK-STUDIO-CANVAS	tool rail + blank canvas	app
skeleton	SK-COMPARISON	A|B columns decision	marketing|app
skeleton	SK-PRICING-LADDER	vertical plan ladder not 3 cards	marketing
skeleton	SK-MANIFEST-LIST	shipping manifest lines	app
skeleton	SK-SCOREBOARD	live scores big numbers	app|marketing
