combo_id	style_id	title	family	skeleton	type_era	control	material_hint	colour_strat	chrome	density_hint	brief_lock
C0001	arts-and-crafts	Arts and Crafts	historical-movement	SK-HERO-SPLIT	TY-OLDSTYLE-SERIF	chunk-border	wool-felt	CS-MONO-PLUS	CH-NONE	marketing	STYLE_ID=arts-and-crafts; SKELETON=SK-HERO-SPLIT; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=chunk-border; MATERIAL=wool-felt; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-NONE; FEEL=handmade honesty anti-industrial
C0002	art-nouveau	Art Nouveau	historical-movement	SK-SINGLE-STICKY	TY-DISPLAY-EXTREME	ink-underline	watercolor-wash	CS-DUOTONE	CH-MIN	marketing	STYLE_ID=art-nouveau; SKELETON=SK-SINGLE-STICKY; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=ink-underline; MATERIAL=watercolor-wash; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-MIN; FEEL=organic curves botanical line
C0003	wiener-werkstatte	Wiener Werkstätte	historical-movement	SK-EDITORIAL-LONG	TY-GEOMETRIC	sharp-0	gold-leaf	CS-PRIMARY-TRIO	CH-STANDARD	marketing	STYLE_ID=wiener-werkstatte; SKELETON=SK-EDITORIAL-LONG; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=gold-leaf; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-STANDARD; FEEL=geometric square modern craft
C0004	futurism	Futurism	historical-movement	SK-BENTO	TY-INDUSTRIAL-COND	sharp-0	steel	CS-TONAL	CH-APP	marketing	STYLE_ID=futurism; SKELETON=SK-BENTO; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=sharp-0; MATERIAL=steel; COLOUR_STRAT=CS-TONAL; CHROME=CH-APP; FEEL=speed diagonals machine energy
C0005	dada	Dada	historical-movement	SK-TABLE-FIRST	TY-MIXED-HIGH-CONTRAST	chunk-border	newsprint	CS-PAPER-INK	CH-DENSE	app	STYLE_ID=dada; SKELETON=SK-TABLE-FIRST; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=newsprint; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-DENSE; FEEL=collage absurd anti-design
C0006	constructivism	Constructivist	historical-movement	SK-TIMELINE	TY-INDUSTRIAL-COND	chunk-border	screenprint	CS-DARK-STAGE	CH-IMMERSIVE	app	STYLE_ID=constructivism; SKELETON=SK-TIMELINE; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=chunk-border; MATERIAL=screenprint; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-IMMERSIVE; FEEL=bars diagonals propaganda geometry
C0007	de-stijl	De Stijl	historical-movement	SK-MAP-STAGE	TY-GEOMETRIC	sharp-0	primary-blocks	CS-PASTEL-POP	CH-NONE	app	STYLE_ID=de-stijl; SKELETON=SK-MAP-STAGE; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=primary-blocks; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-NONE; FEEL=strict H/V primary rects
C0008	bauhaus	Bauhaus	historical-movement	SK-BOARD-KANBAN	TY-GEOMETRIC	sharp-0	primary-blocks	CS-SIGNAL	CH-MIN	app	STYLE_ID=bauhaus; SKELETON=SK-BOARD-KANBAN; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=primary-blocks; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-MIN; FEEL=workshop modern geometry function
C0009	new-typography	New Typography	historical-movement	SK-TICKET-STUB	TY-GROTESQUE	ink-underline	paper-ink	CS-PHOTO-LED	CH-STANDARD	marketing	STYLE_ID=new-typography; SKELETON=SK-TICKET-STUB; TYPE_ERA=TY-GROTESQUE; CONTROL=ink-underline; MATERIAL=paper-ink; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-STANDARD; FEEL=type as image asymmetric
C0010	art-deco	Art Deco	historical-movement	SK-LEDGER	TY-DIDONE-LUX	ticket	gold-leaf	CS-CMYK-PROCESS	CH-APP	app	STYLE_ID=art-deco; SKELETON=SK-LEDGER; TYPE_ERA=TY-DIDONE-LUX; CONTROL=ticket; MATERIAL=gold-leaf; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-APP; FEEL=glamour verticals fan geometry
