combo_id	pattern_id	title	family	platform	nav	shell	density	interaction	brief_lock
A0001	m-bottom-tabs-5	Bottom tabs (max 5)	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-bottom-tabs-5; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=url-state,optimistic-ui,safe-area-css,install-pwa; FEEL=Peer top-level destinations
A0002	m-bottom-tabs-3	Bottom tabs (3)	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-bottom-tabs-3; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=autocomplete,service-worker-offline,prefers-reduced-motion,hover-media; FEEL=Focused product
A0003	m-tab-per-stack	Tab + stack per root	mobile-structure	mobile-phone	NAV-TAB+STACK	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-tab-per-stack; NAV=NAV-TAB+STACK; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=url-state,flex-phone-column,optimistic-ui,aria-current; FEEL=Independent history per tab
A0004	m-hamburger-secondary	Drawer for secondary only	mobile-structure	mobile-phone	NAV-DRAWER	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-hamburger-secondary; NAV=NAV-DRAWER; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=safe-area-css,prefers-contrast,csrf-safe,form-novalidate; FEEL=Not for primary 5 destinations
A0005	m-hub-and-spoke	Hub home + spokes	mobile-structure	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-hub-and-spoke; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=dialog-element,prefers-color-scheme,pointer-events,share-api; FEEL=Home launches tasks
A0006	m-single-feed	Single feed app	mobile-structure	mobile-phone	NAV-NONE-FOCUS	SH-PHONE-FEED	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-single-feed; NAV=NAV-NONE-FOCUS; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=inputmode,biometric-webauthn,scroll-padding,flex-phone-column; FEEL=Content is the app
A0007	m-camera-first	Camera/capture first	mobile-structure	mobile-phone	NAV-NONE-FOCUS	SH-PHONE-CANVAS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-camera-first; NAV=NAV-NONE-FOCUS; SHELL=SH-PHONE-CANVAS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=service-worker-offline,focus-trap,skeleton-css,focus-visible; FEEL=Capture chrome minimal
A0008	m-map-first	Map-first mobile	mobile-structure	mobile-phone	NAV-BOTTOM-SHEET	SH-PHONE-SHEET	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-map-first; NAV=NAV-BOTTOM-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=aria-current,biometric-webauthn,scroll-padding,sticky-footer-cta; FEEL=Map stage + sheet
A0009	m-chat-thread	Chat thread mobile	mobile-structure	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-chat-thread; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=install-pwa,content-visibility,dvh-units,coarse-pointer; FEEL=Thread + composer bottom
A0010	m-onboarding-pager	Onboarding pager	mobile-structure	mobile-phone	NAV-WIZARD	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-onboarding-pager; NAV=NAV-WIZARD; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=focus-trap,aria-current,network-information,type-date; FEEL=3–5 screens skipable
A0011	m-auth-focus	Auth focus flow	mobile-structure	mobile-phone	NAV-NONE-FOCUS	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-auth-focus; NAV=NAV-NONE-FOCUS; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=touch-action,vibrate-careful,pointer-events,hover-media; FEEL=No app chrome
A0012	m-checkout-linear	Mobile checkout linear	mobile-structure	mobile-phone	NAV-WIZARD	SH-PHONE-STACK	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-checkout-linear; NAV=NAV-WIZARD; SHELL=SH-PHONE-STACK; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=tap-highlight,inputmode,content-visibility,coarse-pointer; FEEL=Steps, progress, sticky pay
A0013	m-settings-grouped	iOS-like grouped settings	mobile-structure	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-settings-grouped; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=type-date,debounce-search,sticky-footer-cta,bottom-nav-fixed; FEEL=Inset grouped lists
A0014	m-profile-me	Profile / Me tab	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-profile-me; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=aria-current,flex-phone-column,service-worker-offline,csrf-safe; FEEL=Account + prefs entry
A0015	m-search-tab	Search as tab	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-search-tab; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=push-web,sticky-footer-cta,will-change-sparing,scroll-padding; FEEL=Search is a root job
A0016	m-create-fab	Create via FAB	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-FEED	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-create-fab; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-FEED; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=viewport-meta,focus-trap,app-badge,service-worker-offline; FEEL=One create affordance
A0017	m-create-sheet	Create via sheet	mobile-structure	mobile-phone	NAV-BOTTOM-SHEET	SH-PHONE-SHEET	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-create-sheet; NAV=NAV-BOTTOM-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=error-boundary-ui,inputmode,optimistic-ui,overscroll; FEEL=Compose in sheet
A0018	m-detail-push	Detail push	mobile-structure	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-detail-push; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=skeleton-css,safe-area-css,app-badge,abort-controller; FEEL=List to detail with back
A0019	m-edit-modal	Edit modal	mobile-structure	mobile-phone	NAV-MODAL-SHEET	SH-PHONE-SHEET	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-edit-modal; NAV=NAV-MODAL-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=aria-expanded,min-touch,sticky-footer-cta,biometric-webauthn; FEEL=Block context for edit
A0020	m-picker-sheet	Picker sheet	mobile-structure	mobile-phone	NAV-BOTTOM-SHEET	SH-PHONE-SHEET	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-picker-sheet; NAV=NAV-BOTTOM-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=dvh-units,scroll-padding,vibrate-careful,bottom-nav-fixed; FEEL=Select without full page
A0021	m-filter-sheet	Filter sheet	mobile-structure	mobile-phone	NAV-BOTTOM-SHEET	SH-PHONE-SHEET	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-filter-sheet; NAV=NAV-BOTTOM-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=will-change-sparing,dialog-element,touch-action,history-stack; FEEL=Filters over results
A0022	m-action-sheet	Action sheet confirm	mobile-structure	mobile-phone	NAV-MODAL-SHEET	SH-PHONE-SHEET	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-action-sheet; NAV=NAV-MODAL-SHEET; SHELL=SH-PHONE-SHEET; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=aria-expanded,min-touch,prefers-reduced-motion,install-pwa; FEEL=Destructive choices clear
A0023	m-wizard-fullscreen	Fullscreen wizard	mobile-structure	mobile-phone	NAV-WIZARD	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-wizard-fullscreen; NAV=NAV-WIZARD; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=dialog-element,url-state,viewport-meta,history-stack; FEEL=Step chrome only
A0024	m-offline-first-list	Offline-first list	mobile-structure	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-FEED	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-offline-first-list; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-FEED; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=install-pwa,dvh-units,min-touch,file-capture; FEEL=Cached + sync state
A0025	m-biometric-gate	Biometric gate	mobile-structure	mobile-phone	NAV-NONE-FOCUS	SH-PHONE-STACK	D-COMFORTABLE	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-biometric-gate; NAV=NAV-NONE-FOCUS; SHELL=SH-PHONE-STACK; DENSITY=D-COMFORTABLE; IX=IX-PRIMARY-THUMB; IMPL=coarse-pointer,live-region,service-worker-offline,biometric-webauthn; FEEL=Local auth then app
A0026	m-target-44	44pt touch targets	mobile-touch-a11y	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-target-44; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=share-api,touch-action,error-boundary-ui,intersection-infinite; FEEL=Primary controls ≥44×44
A0027	m-target-spacing	Target spacing	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-TOUCH-COMFORT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-target-spacing; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-TOUCH-COMFORT; IX=IX-PRIMARY-THUMB; IMPL=tap-highlight,virtual-list,sticky-footer-cta,service-worker-offline; FEEL=Avoid mis-taps between actions
A0028	m-thumb-zone-cta	Thumb-zone primary CTA	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-TOUCH-COMFORT	IX-STICKY-FOOTER-CTA	PLATFORM=mobile-phone; PATTERN=m-thumb-zone-cta; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-TOUCH-COMFORT; IX=IX-STICKY-FOOTER-CTA; IMPL=dialog-element,bottom-nav-fixed,hover-media,form-novalidate; FEEL=Primary near bottom
A0029	m-no-hover	No hover-only	mobile-touch-a11y	mobile-phone	NAV-STACK-PUSH	SH-PHONE-STACK	D-DEFAULT	IX-PRIMARY-THUMB	PLATFORM=mobile-phone; PATTERN=m-no-hover; NAV=NAV-STACK-PUSH; SHELL=SH-PHONE-STACK; DENSITY=D-DEFAULT; IX=IX-PRIMARY-THUMB; IMPL=flex-phone-column,dialog-element,prefers-color-scheme,hover-media; FEEL=All actions visible/tappable
A0030	m-safe-area-chrome	Safe-area chrome	mobile-touch-a11y	mobile-phone	NAV-BOTTOM-TABS	SH-PHONE-TABS	D-TOUCH-COMFORT	IX-STICKY-FOOTER-CTA	PLATFORM=mobile-phone; PATTERN=m-safe-area-chrome; NAV=NAV-BOTTOM-TABS; SHELL=SH-PHONE-TABS; DENSITY=D-TOUCH-COMFORT; IX=IX-STICKY-FOOTER-CTA; IMPL=aria-expanded,overscroll,app-badge,skeleton-css; FEEL=Tabs/CTAs above home indicator
