pattern_id	family	title	feel	nav	ix_default	shell	density	platform	quarantine	notes
m-bottom-tabs-5	mobile-structure	Bottom tabs (max 5)	Peer top-level destinations	NAV-BOTTOM-TABS	IX-PRIMARY-THUMB	SH-PHONE-TABS	D-TOUCH-COMFORT	mobile-phone	0	Most consumer apps
m-bottom-tabs-3	mobile-structure	Bottom tabs (3)	Focused product	NAV-BOTTOM-TABS	IX-PRIMARY-THUMB	SH-PHONE-TABS	D-TOUCH-COMFORT	mobile-phone	0	Simple products
m-tab-per-stack	mobile-structure	Tab + stack per root	Independent history per tab	NAV-TAB+STACK	IX-PRIMARY-THUMB	SH-PHONE-TABS	D-TOUCH-COMFORT	mobile-phone	0	Standard iOS pattern
m-hamburger-secondary	mobile-structure	Drawer for secondary only	Not for primary 5 destinations	NAV-DRAWER	IX-PRIMARY-THUMB	SH-PHONE-STACK	D-DEFAULT	mobile-phone	0	Overflow
m-hub-and-spoke	mobile-structure	Hub home + spokes	Home launches tasks	NAV-STACK-PUSH	IX-PRIMARY-THUMB	SH-PHONE-STACK	D-DEFAULT	mobile-phone	0	Task apps
m-single-feed	mobile-structure	Single feed app	Content is the app	NAV-NONE-FOCUS	IX-PRIMARY-THUMB	SH-PHONE-FEED	D-DEFAULT	mobile-phone	0	Social/news
m-camera-first	mobile-structure	Camera/capture first	Capture chrome minimal	NAV-NONE-FOCUS	IX-PRIMARY-THUMB	SH-PHONE-CANVAS	D-TOUCH-COMFORT	mobile-phone	0	Scan/create
m-map-first	mobile-structure	Map-first mobile	Map stage + sheet	NAV-BOTTOM-SHEET	IX-PRIMARY-THUMB	SH-PHONE-SHEET	D-TOUCH-COMFORT	mobile-phone	0	Nav/local
m-chat-thread	mobile-structure	Chat thread mobile	Thread + composer bottom	NAV-STACK-PUSH	IX-PRIMARY-THUMB	SH-PHONE-STACK	D-DEFAULT	mobile-phone	0	Messaging
m-onboarding-pager	mobile-structure	Onboarding pager	3–5 screens skipable	NAV-WIZARD	IX-PRIMARY-THUMB	SH-PHONE-STACK	D-COMFORTABLE	mobile-phone	0	First run
